,gene,log2FoldChange,pvalue,mean_NAFL,mean_NASH,t_statistic,padj
15107,MSN,0.9062242937656471,6.060528411931195e-17,908.1176470588235,1702.8085106382978,10.331294901529837,9.343516652674322e-13
14720,ENG,0.7069567281219116,1.950410225847413e-16,728.2156862745098,1189.340425531915,10.00784727542823,1.5034737225944782e-12
1394,PIGR,0.8377122429497527,1.940622649963712e-15,617.7450980392157,1104.8297872340424,9.684198663622656,8.885222924719229e-12
1467,CAPN2,1.0801963844545561,2.9748663998559552e-15,329.8235294117647,698.468085106383,9.94766368941598,8.885222924719229e-12
10240,MAP4,0.6685649988796394,3.4579579391785286e-15,688.2745098039215,1094.595744680851,9.366855385927918,8.885222924719229e-12
15262,6-Sep,0.5945707966566804,3.183334497171727e-15,351.05882352941177,530.6170212765958,9.383876386485596,8.885222924719229e-12
9192,PYGB,0.6875560430767585,6.835045954211047e-15,167.52941176470588,270.4255319148936,9.2429629356634,1.5053700496581672e-11
9628,COL6A2,0.7355043427202231,1.3984650702432175e-14,656.6274509803922,1093.936170212766,9.119322080762103,2.6950169984924604e-11
13047,TTYH3,0.8970200213213639,2.336580116306548e-14,236.7058823529412,441.6595744680851,9.135632037394075,4.002561739233117e-11
5471,MVP,0.896205134608236,4.2735999828499484e-14,296.27450980392155,552.2765957446809,9.157460166799739,5.77738282689239e-11
959,RFX5,0.7020361503970052,4.828226373908548e-14,172.09803921568627,280.59574468085106,8.897370396062984,5.77738282689239e-11
5870,MYO1C,0.5814412498933127,4.682591788498647e-14,796.4901960784314,1192.3191489361702,8.86904350423599,5.77738282689239e-11
4779,EHD4,0.8658366948824888,4.8716336997860196e-14,114.43137254901961,209.36170212765958,9.072106045269848,5.77738282689239e-11
11495,FAT1,1.2619218992994987,6.86838075435186e-14,366.2156862745098,879.6382978723404,9.009881946988314,7.563559006417329e-11
1255,QSOX1,0.8041898459131456,7.425133522786785e-14,334.921568627451,585.5744680851063,8.992321707543683,7.631552234720258e-11
7277,MAN2B1,0.4626331005255399,1.0872790183928544e-13,620.7058823529412,855.7446808510638,8.691997180442206,1.0476612891601647e-10
10511,ARHGAP31,0.7502252909762575,1.1911079523028955e-13,97.37254901960785,164.46808510638297,8.647706599144673,1.0801947823913965e-10
15270,ZBTB33,0.6882185720243968,1.546064427684193e-13,338.29411764705884,545.7021276595744,8.611010083212555,1.3242041823115111e-10
12186,ADAMTS2,0.8752176520111952,1.6964656932582676e-13,146.76470588235293,270.0425531914894,8.699327660394962,1.3765479785769847e-10
9343,CTSA,0.5355856935651973,1.9363583158584602e-13,767.6274509803922,1113.1489361702127,8.561186414570603,1.4865714169596863e-10
2259,CTSD,0.5110693479265311,2.2177558922016464e-13,6878.980392156863,9803.702127659575,8.527661390130795,1.4865714169596863e-10
591,JUN,0.9806521115603535,2.1499362663205092e-13,154.09803921568627,305.06382978723406,8.741900731913374,1.4865714169596863e-10
8289,SPTBN1,0.598755570440048,2.048593659594661e-13,3297.8627450980393,4994.829787234043,8.552410069194305,1.4865714169596863e-10
5647,B3GNT9,0.8999023390098871,2.3177324282612946e-13,20.11764705882353,38.40425531914894,8.724128724990969,1.488853368604349e-10
3862,UBC,0.5369903733027785,2.601438234289599e-13,3512.4901960784314,5096.872340425532,8.576684021216284,1.6042549303217098e-10
3547,GNS,0.5551276512061138,3.121318066730689e-13,1180.921568627451,1735.595744680851,8.454107351568785,1.6555771410094662e-10
8161,SLC35F6,0.4672307744153939,2.9157939835495144e-13,211.80392156862746,293.1914893617021,8.465294989183075,1.6555771410094662e-10
6517,MRC2,1.0375826498976557,3.3289804353177306e-13,100.6470588235294,207.6595744680851,8.699704004262097,1.6555771410094662e-10
14178,MYC,1.1197980066271445,3.0890137658004615e-13,27.823529411764707,61.638297872340424,9.018638442980007,1.6555771410094662e-10
9801,PIK3IP1,0.8499695533938935,3.208361551191755e-13,90.47058823529412,163.87234042553192,8.735997354593897,1.6555771410094662e-10
6094,FLII,0.5134584569586799,3.263666701626152e-13,537.6862745098039,767.9574468085107,8.536225176350873,1.6555771410094662e-10
10142,ITGA9,0.756658048024497,3.5236399929532614e-13,213.7843137254902,361.8936170212766,8.42783778261322,1.6976236803550134e-10
9359,SULF2,0.6965317673775911,3.715266574500416e-13,805.6862745098039,1306.3191489361702,8.48898874424376,1.7357049933052396e-10
2260,LSP1,0.9264104196406237,4.4797391939628766e-13,91.7843137254902,175.3404255319149,8.496271588640772,1.8665983554952885e-10
6942,SERPINB8,1.004234391250103,4.300566780338416e-13,66.84313725490196,135.08510638297872,8.73350648301122,1.8665983554952885e-10
13400,COL1A2,1.374007023182554,4.283493077963783e-13,290.5882352941176,754.7659574468086,8.85497403867168,1.8665983554952885e-10
1889,VCL,0.7423235816790684,4.4785010018934304e-13,201.6078431372549,337.93617021276594,8.38468408031221,1.8665983554952885e-10
6294,FKBP10,0.8200270059557409,4.778296496902506e-13,56.13725490196079,99.87234042553192,8.608185605288538,1.9386051866512088e-10
12871,SGK1,0.7662414873765774,4.961088426322729e-13,277.4117647058824,472.531914893617,8.479475172633952,1.961156417144039e-10
258,SEPN1,0.5691466212264265,5.314140366030283e-13,346.70588235294116,514.8723404255319,8.347884173384964,2.0100727657306852e-10
1262,MR1,0.6356572188652321,5.475971729953219e-13,226.9607843137255,353.17021276595744,8.403375723741075,2.0100727657306852e-10
14560,TDRD7,0.5658857076500698,5.39513681748787e-13,114.0,169.2340425531915,8.350239504474763,2.0100727657306852e-10
9182,CD93,0.7385964856861165,5.692920392671299e-13,228.19607843137254,381.4255319148936,8.330793612483012,2.0411105510189167e-10
430,CAP1,0.5097473775634922,6.254844796600288e-13,1089.2941176470588,1551.3617021276596,8.334949684609292,2.0517221750890776e-10
8797,COL3A1,1.1166464619822822,6.201574257282477e-13,1188.0392156862745,2577.340425531915,8.57334760044948,2.0517221750890776e-10
1835,HK1,0.7878946623697752,6.088305087258713e-13,92.80392156862744,160.95744680851064,8.50217376850191,2.0517221750890776e-10
8432,CAPG,1.3628841172906165,6.234060607489485e-13,39.88235294117647,104.14893617021276,8.662808819635641,2.0517221750890776e-10
6473,SCPEP1,0.7067961696203865,6.841881340257331e-13,196.88235294117646,321.97872340425533,8.598691515050396,2.1975267629739013e-10
2293,TRIM22,0.8957114773548486,7.370065542465539e-13,351.5882352941176,655.0,8.64583795698203,2.3188632748610452e-10
11947,CTNNA1,0.5489145242723827,7.79025595378901e-13,1160.862745098039,1698.787234042553,8.330662673072085,2.4020475207913033e-10
7887,FPR3,0.8259417066982987,9.66276709269071e-13,154.4313725490196,274.531914893617,8.31071724878051,2.920997652313974e-10
6654,RHBDF2,0.7210178231166526,1.2193397927598063e-12,55.05882352941177,91.40425531914893,8.278423999183003,3.584800676374477e-10
5479,ALDOA,0.48260405388765004,1.2323696948034462e-12,735.0588235294117,1027.468085106383,8.196017152477186,3.584800676374477e-10
4441,ACTN1,0.6094519187297408,1.3683910200659022e-12,665.5882352941177,1016.0,8.153836615129002,3.9067563622881504e-10
1647,CCDC3,0.7516983257246314,1.4285451524009465e-12,243.94117647058823,411.4255319148936,8.329721774879662,3.932835824029534e-10
